Vendor ID,Company Name,Industry Sector,Country,Risk Status,Cumulative Risk Score,Financial Instability,Delivery Delay,Compliance Issues,Inventory Status,Inventory Buffer Days,Financial Impact Score,Backup Supplier
V031,ApexSoapworks S.A.,Apparel & Consumer Linens,UK,Medium,59,48,54,93,Warning,21,72,SolFoods backup Logistics (USA)
V032,TerraPackaging Corp.,Agricultural Materials & Oils,India,Low,33,22,21,79,Optimal,45,27,SolFoods backup Logistics (USA)
V033,PacificSoapworks Ltd.,Agricultural Materials & Oils,France,Medium,50,54,64,15,Warning,34,55,SolFoods backup Logistics (USA)
V034,RoyalLaboratories Corp.,CPG Cold-Chain Logistics,Switzerland,Medium,53,55,39,79,Optimal,70,61,SolFoods backup Logistics (USA)
V035,NatureHedges S.A.,CPG Cold-Chain Logistics,Japan,Medium,57,82,28,64,Optimal,56,33,SolFoods backup Logistics (USA)
V036,VitaHedges Ltd.,Packaged Foods & Snacks,Canada,High,61,64,63,52,Warning,22,58,SolFoods backup Logistics (USA)
V037,NovaEssentials S.A.,Household Cleaning & Hygiene,UK,Medium,35,30,33,48,Optimal,81,88,SolFoods backup Logistics (USA)
V038,RoyalFoods Corp.,Beverage Bottling & Brewing,Mexico,Medium,46,60,43,23,Optimal,58,73,SolEssentials backup Logistics (USA)
V039,PacificClean Ltd.,Apparel & Consumer Linens,Australia,Critical,81,86,82,69,Critical,10,38,SolFoods backup Logistics (USA)
V040,RoyalIndustries Corp.,Packaged Foods & Snacks,USA,Medium,56,24,77,79,Critical,10,70,SolFoods backup Logistics (Canada)
V041,HorizonGrains S.A.,Cosmetics & Personal Care,Vietnam,Medium,52,65,27,75,Optimal,46,74,SolFoods backup Logistics (USA)
V042,GlobalHedges Ltd.,Agricultural Materials & Oils,Canada,Low,31,32,23,43,Optimal,66,48,SolFoods backup Logistics (USA)
V043,ValleyClean S.A.,Apparel & Consumer Linens,Vietnam,Medium,56,77,25,74,Optimal,70,30,SolFoods backup Logistics (USA)
V044,PrimeCan & Glass Corp.,Sustainable CPG Packaging,Australia,Low,30,26,16,64,Optimal,52,72,SolFoods backup Logistics (USA)
V045,TerraOrganics Ltd.,Cosmetics & Personal Care,Switzerland,High,75,55,91,85,Critical,13,42,SolFoods backup Logistics (USA)
V046,ClearBeverages Corp.,Beverage Bottling & Brewing,Canada,High,73,62,83,77,Critical,13,32,SolFoods backup Logistics (USA)
V047,TrueNaturals S.A.,Packaged Foods & Snacks,Chile,Critical,81,70,91,83,Critical,17,35,SolFoods backup Logistics (USA)
V048,TrueClean Ltd.,Beverage Bottling & Brewing,Mexico,Low,28,28,12,58,Optimal,69,29,SolFoods backup Logistics (USA)
V049,AlpineBottlers S.A.,Apparel & Consumer Linens,Switzerland,High,75,50,91,92,Critical,8,25,SolFoods backup Logistics (USA)
V050,UrbanPackaging Corp.,Apparel & Consumer Linens,South Africa,Medium,47,45,66,13,Warning,30,64,SolFoods backup Logistics (USA)
V051,SunSupplies Ltd.,Sustainable CPG Packaging,France,High,60,46,92,25,Critical,13,32,SolFoods backup Logistics (USA)
V052,CrownHedges Corp.,Sustainable CPG Packaging,Germany,Medium,54,33,71,63,Warning,25,73,SolFoods backup Logistics (USA)
V053,HydroSoapworks S.A.,Sustainable CPG Packaging,Switzerland,Medium,55,41,69,54,Warning,29,74,SolFoods backup Logistics (USA)
V054,TerraOrganics Ltd.,CPG Cold-Chain Logistics,Vietnam,Medium,53,63,57,25,Warning,30,90,SolFoods backup Logistics (USA)
V055,TrueSupplies S.A.,Apparel & Consumer Linens,Japan,Low,32,31,42,16,Optimal,65,69,SolFoods backup Logistics (USA)
V056,UrbanPack Corp.,CPG Cold-Chain Logistics,Italy,Medium,55,66,60,21,Warning,28,89,SolFoods backup Logistics (USA)
V057,PureBeverages Ltd.,CPG Cold-Chain Logistics,UK,Medium,49,40,75,17,Warning,26,51,SolFoods backup Logistics (USA)
V058,GlobalLaboratories Corp.,Household Cleaning & Hygiene,Italy,Medium,36,42,32,34,Optimal,77,88,SolFoods backup Logistics (USA)
V059,SummitPack S.A.,CPG Cold-Chain Logistics,South Africa,Medium,39,22,46,61,Optimal,46,67,SolFoods backup Logistics (USA)
V060,SunSupplies Ltd.,Agricultural Materials & Oils,South Africa,High,66,41,94,58,Critical,9,61,SolFoods backup Logistics (USA)
V061,NatureBeverages S.A.,Cosmetics & Personal Care,UK,High,62,85,55,30,Warning,28,84,SolFoods backup Logistics (USA)
V062,NovaPackaging Corp.,Apparel & Consumer Linens,South Korea,Low,32,43,29,14,Optimal,73,66,SolFoods backup Logistics (USA)
V063,VitaLaboratories Ltd.,Apparel & Consumer Linens,Malaysia,High,71,80,86,25,Critical,10,90,SolFoods backup Logistics (USA)
V064,EcoLogistics Corp.,CPG Cold-Chain Logistics,USA,Critical,90,93,86,90,Critical,15,54,SolFoods backup Logistics (Canada)
V065,BioPackaging S.A.,Household Cleaning & Hygiene,South Korea,Medium,49,35,84,8,Critical,17,60,SolFoods backup Logistics (USA)
V066,GreenNutrition Ltd.,Beverage Bottling & Brewing,Vietnam,High,63,48,67,84,Warning,28,68,SolFoods backup Logistics (USA)
V067,EcoPack S.A.,Apparel & Consumer Linens,Malaysia,Medium,51,25,71,63,Warning,30,83,SolFoods backup Logistics (USA)
V068,NovaFoods Corp.,Cosmetics & Personal Care,Indonesia,Critical,83,85,90,63,Critical,17,80,SolEssentials backup Logistics (USA)
V069,UrbanEssentials Ltd.,Apparel & Consumer Linens,Australia,Medium,47,66,40,23,Optimal,71,83,SolFoods backup Logistics (USA)
V070,FreshIndustries Corp.,Household Cleaning & Hygiene,South Korea,Medium,40,29,28,85,Optimal,67,79,SolFoods backup Logistics (USA)
V071,CrownOrganics S.A.,Cosmetics & Personal Care,India,Medium,56,64,50,53,Optimal,62,64,SolFoods backup Logistics (USA)
V072,RoyalEssentials Ltd.,Apparel & Consumer Linens,Chile,Medium,58,79,34,64,Optimal,85,90,SolFoods backup Logistics (USA)
V073,NovaCosmetics S.A.,Beverage Bottling & Brewing,Italy,High,76,66,92,63,Critical,12,68,SolFoods backup Logistics (USA)
V074,VitaSources Corp.,Agricultural Materials & Oils,Brazil,Medium,40,37,29,66,Optimal,53,65,SolFoods backup Logistics (USA)
V075,CrownLogistics Ltd.,Cosmetics & Personal Care,Chile,Medium,37,62,20,22,Optimal,75,66,SolFoods backup Logistics (USA)
V076,TrueIndustries Corp.,Apparel & Consumer Linens,Thailand,Medium,44,28,74,15,Warning,24,21,SolFoods backup Logistics (USA)
V077,ApexOrganics S.A.,Cosmetics & Personal Care,Chile,High,79,83,80,68,Critical,8,88,SolFoods backup Logistics (USA)
V078,VastPackaging Ltd.,Apparel & Consumer Linens,Japan,Medium,51,61,34,64,Optimal,75,23,SolFoods backup Logistics (USA)
V079,VastBeverages S.A.,Sustainable CPG Packaging,Chile,High,62,80,59,33,Warning,23,66,SolFoods backup Logistics (USA)
V080,AuraLogistics Corp.,Sustainable CPG Packaging,Netherlands,High,77,63,88,85,Critical,16,65,SolFoods backup Logistics (USA)
V081,AuraSoapworks Ltd.,Household Cleaning & Hygiene,Mexico,Medium,59,27,84,72,Critical,13,79,SolFoods backup Logistics (USA)
V082,SummitCare Corp.,CPG Cold-Chain Logistics,USA,High,65,66,85,24,Critical,8,88,SolFoods backup Logistics (Canada)
V083,VitaSupplies S.A.,Beverage Bottling & Brewing,Australia,Medium,38,31,41,48,Optimal,49,20,SolFoods backup Logistics (USA)
V084,UrbanLaboratories Ltd.,CPG Cold-Chain Logistics,Japan,Critical,82,70,89,92,Critical,18,32,SolFoods backup Logistics (USA)
V085,OrgaPackaging S.A.,CPG Cold-Chain Logistics,South Africa,Medium,40,79,17,10,Optimal,56,45,SolFoods backup Logistics (USA)
V086,VastGrains Corp.,Sustainable CPG Packaging,Switzerland,Low,22,30,17,18,Optimal,66,75,SolFoods backup Logistics (USA)
V087,OrgaClean Ltd.,Agricultural Materials & Oils,Australia,Medium,43,35,40,65,Optimal,61,76,SolFoods backup Logistics (USA)
V088,UrbanBeverages Corp.,Packaged Foods & Snacks,Brazil,Medium,55,20,91,51,Critical,9,71,SolFoods backup Logistics (USA)
V089,GreenBottlers S.A.,Beverage Bottling & Brewing,Malaysia,High,67,46,90,62,Critical,11,68,SolFoods backup Logistics (USA)
V090,BioSoapworks Ltd.,Apparel & Consumer Linens,Brazil,Low,18,21,18,13,Optimal,46,61,SolFoods backup Logistics (USA)
V091,CrownNaturals S.A.,Packaged Foods & Snacks,Canada,High,61,89,32,64,Optimal,69,26,SolFoods backup Logistics (USA)
V092,CrownCan & Glass Corp.,Beverage Bottling & Brewing,Chile,Medium,45,38,60,31,Warning,31,79,SolFoods backup Logistics (USA)
V093,EcoSources Ltd.,CPG Cold-Chain Logistics,Brazil,Medium,50,65,24,72,Optimal,60,74,SolFoods backup Logistics (USA)
V094,ApexLaboratories Corp.,Agricultural Materials & Oils,Vietnam,Medium,55,45,80,26,Critical,8,34,SolFoods backup Logistics (USA)
V095,RoyalCare S.A.,Sustainable CPG Packaging,Mexico,Low,33,17,25,82,Optimal,68,29,SolFoods backup Logistics (USA)
V096,TerraClean Ltd.,Packaged Foods & Snacks,UK,High,78,91,87,35,Critical,8,52,SolFoods backup Logistics (USA)
V097,NovaClean S.A.,Beverage Bottling & Brewing,Netherlands,Low,33,24,17,81,Optimal,59,38,SolFoods backup Logistics (USA)
V098,GlobalSupplies Corp.,Beverage Bottling & Brewing,Chile,Medium,50,19,84,42,Critical,13,21,SolFoods backup Logistics (USA)
V099,AlpineSupplies Ltd.,Apparel & Consumer Linens,Malaysia,High,66,36,83,90,Critical,10,39,SolFoods backup Logistics (USA)
V100,NatureMillers Corp.,Apparel & Consumer Linens,Switzerland,Medium,59,95,21,65,Optimal,53,45,SolFoods backup Logistics (USA)
V101,EcoLaboratories S.A.,Agricultural Materials & Oils,South Korea,Low,30,17,46,25,Optimal,65,51,SolFoods backup Logistics (USA)
V102,GlobalOrganics Ltd.,Household Cleaning & Hygiene,South Korea,Low,28,16,31,46,Optimal,53,66,SolFoods backup Logistics (USA)
V103,PacificGrains S.A.,Cosmetics & Personal Care,Germany,Medium,47,17,84,32,Critical,19,62,SolFoods backup Logistics (USA)
V104,ValleyFarms Corp.,Sustainable CPG Packaging,Netherlands,Medium,42,67,35,6,Optimal,85,68,SolFoods backup Logistics (USA)
V105,GreenIndustries Ltd.,Cosmetics & Personal Care,France,High,71,74,89,29,Critical,7,22,SolFoods backup Logistics (USA)
V106,PacificClean Corp.,Household Cleaning & Hygiene,Italy,High,66,94,29,84,Optimal,74,81,SolFoods backup Logistics (USA)
V107,TerraSources S.A.,Packaged Foods & Snacks,Canada,Low,30,26,22,52,Optimal,49,79,SolFoods backup Logistics (USA)
V108,HydroCosmetics Ltd.,Packaged Foods & Snacks,Malaysia,Medium,51,26,88,25,Critical,17,71,SolFoods backup Logistics (USA)
V109,FreshOrganics S.A.,Apparel & Consumer Linens,Germany,Medium,48,41,53,53,Warning,29,46,SolFoods backup Logistics (USA)
V110,TerraEssentials Corp.,Cosmetics & Personal Care,UK,High,63,67,71,40,Warning,24,90,SolFoods backup Logistics (USA)
V111,AuraCare Ltd.,Packaged Foods & Snacks,Japan,Medium,53,89,25,39,Optimal,72,46,SolFoods backup Logistics (USA)
V112,FreshCan & Glass Corp.,Household Cleaning & Hygiene,Thailand,Low,33,19,20,86,Optimal,60,88,SolFoods backup Logistics (USA)
V113,RoyalSoapworks S.A.,Packaged Foods & Snacks,Canada,High,60,83,21,93,Optimal,54,31,SolFoods backup Logistics (USA)
V114,ApexHedges Ltd.,CPG Cold-Chain Logistics,Indonesia,Medium,48,53,59,18,Warning,35,93,SolFoods backup Logistics (USA)
V115,TerraIndustries S.A.,Beverage Bottling & Brewing,Brazil,High,60,55,87,16,Critical,17,94,SolFoods backup Logistics (USA)
V116,OrgaFoods Corp.,Apparel & Consumer Linens,Brazil,Medium,38,22,64,16,Warning,22,62,SolEssentials backup Logistics (USA)
V117,SilkNutrition Ltd.,Beverage Bottling & Brewing,South Korea,Medium,53,93,18,41,Optimal,50,80,SolFoods backup Logistics (USA)
V118,CrownCan & Glass Corp.,Agricultural Materials & Oils,Netherlands,Medium,35,20,37,61,Optimal,70,60,SolFoods backup Logistics (USA)
V119,PureOrganics S.A.,Apparel & Consumer Linens,UK,Medium,45,42,31,77,Optimal,61,60,SolFoods backup Logistics (USA)
V120,SunGrains Ltd.,Apparel & Consumer Linens,Netherlands,Medium,53,38,68,51,Warning,31,56,SolFoods backup Logistics (USA)
V121,AlpineSoapworks S.A.,Packaged Foods & Snacks,Canada,Low,33,51,29,7,Optimal,54,57,SolFoods backup Logistics (USA)
V122,ApexCosmetics Corp.,Packaged Foods & Snacks,France,Medium,54,53,38,87,Optimal,65,53,SolFoods backup Logistics (USA)
V123,FreshFoods Ltd.,Agricultural Materials & Oils,Netherlands,High,67,63,94,23,Critical,16,61,SolEssentials backup Logistics (USA)
V124,HorizonClean Corp.,Household Cleaning & Hygiene,Mexico,High,67,93,32,87,Optimal,51,57,SolFoods backup Logistics (USA)
V125,PureGrains S.A.,CPG Cold-Chain Logistics,Switzerland,Medium,56,78,33,57,Optimal,66,40,SolFoods backup Logistics (USA)
V126,NovaClean Ltd.,Sustainable CPG Packaging,Mexico,High,67,60,68,80,Warning,24,37,SolFoods backup Logistics (USA)
V127,VelvetFoods S.A.,Cosmetics & Personal Care,South Korea,Medium,56,48,47,88,Optimal,55,82,SolEssentials backup Logistics (USA)
V128,TerraCan & Glass Corp.,Agricultural Materials & Oils,Malaysia,Low,33,54,13,30,Optimal,52,47,SolFoods backup Logistics (USA)
V129,NatureSources Ltd.,Sustainable CPG Packaging,Italy,High,74,54,91,81,Critical,17,37,SolFoods backup Logistics (USA)
V130,VastLaboratories Corp.,Household Cleaning & Hygiene,South Africa,Medium,37,64,23,12,Optimal,54,90,SolFoods backup Logistics (USA)
V131,NatureClean S.A.,Household Cleaning & Hygiene,France,High,73,80,61,83,Warning,31,85,SolFoods backup Logistics (USA)
V132,NatureLogistics Ltd.,Agricultural Materials & Oils,Vietnam,Medium,56,44,92,7,Critical,14,57,SolFoods backup Logistics (USA)
V133,FreshPackaging S.A.,Sustainable CPG Packaging,France,Low,24,18,12,58,Optimal,47,83,SolFoods backup Logistics (USA)
V134,VelvetFoods Corp.,Apparel & Consumer Linens,Malaysia,Medium,43,40,39,57,Optimal,80,64,SolEssentials backup Logistics (USA)
V135,ClearPackaging Ltd.,Beverage Bottling & Brewing,Canada,High,66,75,73,34,Warning,33,49,SolFoods backup Logistics (USA)
V136,HorizonPackaging Corp.,Household Cleaning & Hygiene,UK,High,64,66,89,10,Critical,12,92,SolFoods backup Logistics (USA)
V137,VelvetCan & Glass S.A.,Household Cleaning & Hygiene,Indonesia,Medium,43,24,54,58,Warning,26,71,SolFoods backup Logistics (USA)
V138,AlpineSoapworks Ltd.,Beverage Bottling & Brewing,Australia,High,61,72,39,81,Optimal,82,44,SolFoods backup Logistics (USA)
V139,NatureNaturals S.A.,Sustainable CPG Packaging,Switzerland,Low,26,21,17,54,Optimal,61,76,SolFoods backup Logistics (USA)
V140,SilkFoods Corp.,Sustainable CPG Packaging,Thailand,Low,30,36,16,44,Optimal,84,88,SolEssentials backup Logistics (USA)
V141,ValleyBottlers Ltd.,Packaged Foods & Snacks,Canada,High,61,76,61,29,Warning,24,83,SolFoods backup Logistics (USA)
V142,SummitFarms Corp.,Sustainable CPG Packaging,France,High,64,77,41,86,Optimal,75,72,SolFoods backup Logistics (USA)
V143,SunLaboratories S.A.,CPG Cold-Chain Logistics,Thailand,High,73,89,87,12,Critical,15,49,SolFoods backup Logistics (USA)
V144,PrimeNutrition Ltd.,Sustainable CPG Packaging,Switzerland,Low,31,22,42,25,Optimal,82,65,SolFoods backup Logistics (USA)
V145,HorizonNaturals S.A.,Household Cleaning & Hygiene,Indonesia,Medium,35,22,58,15,Warning,24,32,SolFoods backup Logistics (USA)
V146,SummitCan & Glass Corp.,Apparel & Consumer Linens,Netherlands,Medium,46,25,56,70,Warning,35,91,SolFoods backup Logistics (USA)
V147,TerraCan & Glass Ltd.,Beverage Bottling & Brewing,Switzerland,Medium,59,41,86,43,Critical,8,89,SolFoods backup Logistics (USA)
V148,OrgaNaturals Corp.,Packaged Foods & Snacks,Indonesia,Low,31,37,36,10,Optimal,79,22,SolFoods backup Logistics (USA)
V149,VitaSoapworks S.A.,Agricultural Materials & Oils,Australia,Low,31,51,12,27,Optimal,60,47,SolFoods backup Logistics (USA)
V150,SunEssentials Ltd.,CPG Cold-Chain Logistics,Germany,Medium,47,23,84,22,Critical,17,29,SolFoods backup Logistics (USA)
V151,PureSources S.A.,Apparel & Consumer Linens,Italy,Medium,55,33,94,19,Critical,13,86,SolFoods backup Logistics (USA)
V152,VelvetPackaging Corp.,Beverage Bottling & Brewing,Netherlands,Medium,48,17,77,53,Critical,14,87,SolFoods backup Logistics (USA)
V153,SilkBeverages Ltd.,Apparel & Consumer Linens,Switzerland,Medium,42,74,18,24,Optimal,78,80,SolFoods backup Logistics (USA)
V154,SolNutrition Corp.,Household Cleaning & Hygiene,Switzerland,Medium,50,68,38,39,Optimal,54,44,ApexFoods backup Logistics (USA)
V155,GreenNaturals S.A.,Beverage Bottling & Brewing,Netherlands,High,66,57,79,57,Critical,8,33,SolFoods backup Logistics (USA)
V156,PrimeBeverages Ltd.,Apparel & Consumer Linens,India,Low,31,45,18,28,Optimal,76,76,SolFoods backup Logistics (USA)
V157,HydroCosmetics S.A.,Apparel & Consumer Linens,Netherlands,Low,31,15,41,41,Optimal,81,94,SolFoods backup Logistics (USA)
V158,AuraNaturals Corp.,Apparel & Consumer Linens,Chile,Medium,54,69,37,58,Optimal,50,90,SolFoods backup Logistics (USA)
V159,EcoCosmetics Ltd.,Sustainable CPG Packaging,Brazil,Medium,57,91,32,38,Optimal,81,78,SolFoods backup Logistics (USA)
V160,PureBeverages Corp.,CPG Cold-Chain Logistics,Switzerland,Low,24,39,11,21,Optimal,48,78,SolFoods backup Logistics (USA)
V161,CrownOrganics S.A.,CPG Cold-Chain Logistics,Switzerland,High,61,84,60,18,Warning,34,52,SolFoods backup Logistics (USA)
V162,UrbanOrganics Ltd.,CPG Cold-Chain Logistics,Australia,High,66,73,87,9,Critical,18,73,SolFoods backup Logistics (USA)
V163,SummitLogistics S.A.,Agricultural Materials & Oils,Thailand,High,73,80,75,56,Warning,29,87,SolFoods backup Logistics (USA)
V164,PureGrains Corp.,Apparel & Consumer Linens,Chile,Medium,37,22,31,81,Optimal,70,37,SolFoods backup Logistics (USA)
V165,HydroLogistics Ltd.,Agricultural Materials & Oils,South Korea,Critical,88,93,87,78,Critical,18,60,SolFoods backup Logistics (USA)
V166,SilkClean Corp.,Sustainable CPG Packaging,Indonesia,Medium,50,64,16,91,Optimal,63,51,SolFoods backup Logistics (USA)
V167,BioCare S.A.,Household Cleaning & Hygiene,Brazil,High,66,34,94,74,Critical,8,50,SolFoods backup Logistics (USA)
V168,VitaNutrition Ltd.,Beverage Bottling & Brewing,Chile,Medium,45,85,22,10,Optimal,47,82,SolFoods backup Logistics (USA)
V169,VitaGrains S.A.,Apparel & Consumer Linens,Vietnam,High,65,81,60,44,Warning,33,88,SolFoods backup Logistics (USA)
V170,SunFoods Corp.,Sustainable CPG Packaging,South Korea,Medium,52,57,61,23,Warning,34,90,SolEssentials backup Logistics (USA)
V171,UrbanGrains Ltd.,Apparel & Consumer Linens,South Korea,Low,30,20,21,69,Optimal,85,63,SolFoods backup Logistics (USA)
V172,ValleyPack Corp.,Apparel & Consumer Linens,Netherlands,High,76,91,80,39,Critical,12,22,SolFoods backup Logistics (USA)
V173,ApexFoods S.A.,Beverage Bottling & Brewing,India,Low,28,28,33,18,Optimal,68,40,SolEssentials backup Logistics (USA)
V174,ValleyClean Ltd.,CPG Cold-Chain Logistics,Italy,High,79,84,70,86,Warning,26,84,SolFoods backup Logistics (USA)
V175,ApexCare S.A.,Apparel & Consumer Linens,France,High,75,86,60,85,Warning,26,89,SolFoods backup Logistics (USA)
V176,GreenIndustries Corp.,Apparel & Consumer Linens,South Africa,Medium,54,31,95,19,Critical,10,48,SolFoods backup Logistics (USA)
V177,SilkBeverages Ltd.,Sustainable CPG Packaging,Chile,Medium,58,63,79,8,Critical,11,44,SolFoods backup Logistics (USA)
V178,UrbanPack Corp.,Beverage Bottling & Brewing,UK,Medium,55,87,21,59,Optimal,53,58,SolFoods backup Logistics (USA)
V179,NatureGrains S.A.,Sustainable CPG Packaging,France,Medium,36,46,31,27,Optimal,78,91,SolFoods backup Logistics (USA)
V180,FreshCare Ltd.,Apparel & Consumer Linens,Italy,Medium,45,43,49,39,Optimal,56,88,SolFoods backup Logistics (USA)
V181,VastEssentials S.A.,Household Cleaning & Hygiene,Thailand,Medium,51,94,24,19,Optimal,59,21,SolFoods backup Logistics (USA)
V182,VastBottlers Corp.,Cosmetics & Personal Care,Australia,Medium,35,18,59,21,Warning,24,54,SolFoods backup Logistics (USA)
V183,OrgaPack Ltd.,Cosmetics & Personal Care,Germany,Medium,40,70,16,30,Optimal,53,54,SolFoods backup Logistics (USA)
V184,ValleyFarms Corp.,Cosmetics & Personal Care,South Korea,Low,34,47,28,21,Optimal,75,74,SolFoods backup Logistics (USA)
V185,HorizonIndustries S.A.,Sustainable CPG Packaging,Mexico,High,62,51,90,26,Critical,8,67,SolFoods backup Logistics (USA)
V186,SunLaboratories Ltd.,Agricultural Materials & Oils,Vietnam,Low,25,20,31,23,Optimal,49,45,SolFoods backup Logistics (USA)
V187,AuraSources S.A.,Packaged Foods & Snacks,Chile,High,63,81,30,94,Optimal,49,38,SolFoods backup Logistics (USA)
V188,SunEssentials Corp.,Sustainable CPG Packaging,Chile,High,65,54,86,45,Critical,17,67,SolFoods backup Logistics (USA)
V189,SunCare Ltd.,Agricultural Materials & Oils,Australia,Medium,38,18,57,38,Warning,33,89,SolFoods backup Logistics (USA)
V190,ClearNutrition Corp.,Agricultural Materials & Oils,Italy,Medium,43,36,56,31,Warning,24,30,SolFoods backup Logistics (USA)
V191,AlpineCare S.A.,Apparel & Consumer Linens,Malaysia,Critical,86,85,93,74,Critical,15,65,SolFoods backup Logistics (USA)
V192,CrownIndustries Ltd.,Apparel & Consumer Linens,Mexico,Medium,50,58,57,22,Warning,22,91,SolFoods backup Logistics (USA)
V193,UrbanIndustries S.A.,CPG Cold-Chain Logistics,UK,Medium,52,47,62,44,Warning,34,44,SolFoods backup Logistics (USA)
V194,BioIndustries Corp.,CPG Cold-Chain Logistics,Germany,Medium,47,72,20,51,Optimal,83,21,SolFoods backup Logistics (USA)
V195,ApexNaturals Ltd.,Cosmetics & Personal Care,South Korea,Low,34,47,15,45,Optimal,45,21,SolFoods backup Logistics (USA)
V196,VastOrganics Corp.,Beverage Bottling & Brewing,Canada,Medium,54,21,71,85,Warning,33,82,SolFoods backup Logistics (USA)
V197,SolSupplies S.A.,Agricultural Materials & Oils,UK,Medium,50,60,52,24,Warning,33,82,ApexFoods backup Logistics (USA)
V198,NovaNaturals Ltd.,CPG Cold-Chain Logistics,Thailand,Medium,38,27,58,19,Warning,31,50,SolFoods backup Logistics (USA)
V199,SunHedges S.A.,Beverage Bottling & Brewing,Italy,Medium,51,62,52,29,Warning,23,86,SolFoods backup Logistics (USA)
V200,HydroNaturals Corp.,Beverage Bottling & Brewing,Thailand,Low,33,53,11,38,Optimal,64,43,SolFoods backup Logistics (USA)
